city,state,Composite_AQI,Dominant_Pollutant,PM25_AQI,AQI_Difference
Khora,Uttar_Pradesh,470.0,PM2.5,470.0,0.0
Charkhi Dadri,Haryana,401.0,PM2.5,401.0,0.0
Hajipur,Bihar,400.0,PM2.5,400.0,0.0
Rohtak,Haryana,393.0,PM2.5,393.0,0.0
Modinagar,Uttar_Pradesh,382.0,PM2.5,382.0,0.0
Tirupati,Andhra_Pradesh,364.0,PM2.5,364.0,0.0
Baddi,Himachal Pradesh,350.0,PM2.5,350.0,0.0
Jind,Haryana,350.0,PM2.5,350.0,0.0
Mandi Gobindgarh,Punjab,349.0,PM2.5,349.0,0.0
Suakati,Odisha,342.0,PM2.5,342.0,0.0
Manesar,Haryana,340.0,PM2.5,340.0,0.0
Yamuna Nagar,Haryana,340.0,PM2.5,340.0,0.0
Bahadurgarh,Haryana,338.0,PM2.5,338.0,0.0
Ghaziabad,Uttar_Pradesh,328.5,PM2.5,328.5,0.0
Patna,Bihar,325.7,PM2.5,325.7,0.0
Kalyan,Maharashtra,325.0,PM2.5,325.0,0.0
Gurugram,Haryana,323.2,PM2.5,323.2,0.0
Angul,Odisha,317.0,OZONE,133.0,184.0
Nandesari,Gujarat,315.0,PM2.5,315.0,0.0
Begusarai,Bihar,311.0,PM2.5,311.0,0.0
Motihari,Bihar,309.0,PM2.5,309.0,0.0
Palwal,Haryana,306.0,PM2.5,306.0,0.0
Panchgaon,Haryana,306.0,PM2.5,306.0,0.0
Baghpat,Uttar_Pradesh,306.0,PM2.5,306.0,0.0
Narnaul,Haryana,306.0,PM2.5,306.0,0.0
Hingoli,Maharashtra,304.0,OZONE,38.0,266.0
Vadodara,Gujarat,304.0,PM2.5,304.0,0.0
Hapur,Uttar_Pradesh,304.0,PM2.5,304.0,0.0
Hanumangarh,Rajasthan,304.0,PM2.5,304.0,0.0
Dharuhera,Haryana,297.0,PM2.5,297.0,0.0
Saharsa,Bihar,293.0,PM2.5,293.0,0.0
Arrah,Bihar,273.0,PM2.5,273.0,0.0
Delhi,Delhi,265.9,PM2.5,265.9,0.0
Byasanagar,Odisha,265.0,OZONE,78.0,187.0
Gorakhpur,Uttar_Pradesh,263.0,PM2.5,263.0,0.0
Vatva,Gujarat,260.0,PM2.5,260.0,0.0
Kurukshetra,Haryana,253.0,PM2.5,253.0,0.0
Ballabgarh,Haryana,250.0,PM2.5,250.0,0.0
Satara,Maharashtra,248.0,OZONE,80.0,168.0
Baran,Rajasthan,247.0,PM2.5,247.0,0.0
Karnal,Haryana,247.0,PM2.5,247.0,0.0
Byrnihat,Assam,247.0,PM2.5,247.0,0.0
Chandrapur,Maharashtra,247.0,PM2.5,247.0,0.0
Meerut,Uttar_Pradesh,245.0,PM2.5,245.0,0.0
Faridabad,Haryana,242.7,PM2.5,242.7,0.0
Bhagalpur,Bihar,241.5,PM2.5,241.5,0.0
Lucknow,Uttar_Pradesh,240.2,PM2.5,240.2,0.0
Muzaffarpur,Bihar,239.7,PM2.5,239.7,0.0
Gaya,Bihar,234.7,PM2.5,234.7,0.0
Noida,Uttar_Pradesh,228.2,PM2.5,228.2,0.0
Jaipur,Rajasthan,225.2,PM2.5,225.2,0.0
Panchkula,Haryana,223.0,PM2.5,223.0,0.0
Barbil,Odisha,220.0,PM2.5,220.0,0.0
Udaipur,Rajasthan,220.0,PM2.5,220.0,0.0
Muzaffarnagar,Uttar_Pradesh,217.0,PM2.5,217.0,0.0
Bhiwadi,Rajasthan,214.5,PM2.5,214.5,0.0
Kaithal,Haryana,210.0,PM2.5,210.0,0.0
Vapi,Gujarat,207.0,PM2.5,207.0,0.0
Parbhani,Maharashtra,203.0,PM2.5,203.0,0.0
Hisar,Haryana,197.0,OZONE,120.0,77.0
Sri Ganganagar,Rajasthan,194.0,OZONE,123.0,71.0
Greater Noida,Uttar_Pradesh,192.0,PM2.5,192.0,0.0
Gummidipoondi,TamilNadu,190.0,PM2.5,190.0,0.0
Dharwad,Karnataka,190.0,PM2.5,190.0,0.0
Ludhiana,Punjab,187.0,PM2.5,187.0,0.0
Khurja,Uttar_Pradesh,183.0,PM2.5,183.0,0.0
Nagpur,Maharashtra,180.0,PM2.5,180.0,0.0
Bharatpur,Rajasthan,179.0,OZONE,50.0,129.0
Bilaspur,Chhattisgarh,177.0,PM2.5,177.0,0.0
Pali,Rajasthan,177.0,PM2.5,177.0,0.0
Kannur,Kerala,177.0,PM2.5,177.0,0.0
Sawai Madhopur,Rajasthan,171.0,OZONE,62.0,109.0
Malegaon,Maharashtra,170.0,PM2.5,170.0,0.0
Bhavnagar,Gujarat,167.0,PM2.5,167.0,0.0
Akola,Maharashtra,167.0,PM2.5,167.0,0.0
Bulandshahr,Uttar_Pradesh,167.0,PM10,157.0,10.0
Panipat,Haryana,163.0,PM2.5,163.0,0.0
Dhule,Maharashtra,163.0,PM2.5,163.0,0.0
Churu,Rajasthan,160.0,OZONE,120.0,40.0
Purnia,Bihar,160.0,PM2.5,160.0,0.0
Pampore,Jammu_and_Kashmir,157.0,PM2.5,157.0,0.0
Sonipat,Haryana,157.0,PM2.5,157.0,0.0
Mandideep,Madhya Pradesh,153.0,PM2.5,153.0,0.0
Talcher,Odisha,153.0,PM2.5,153.0,0.0
Nanded,Maharashtra,153.0,PM2.5,153.0,0.0
Firozabad,Uttar_Pradesh,152.5,PM2.5,152.5,0.0
Varanasi,Uttar_Pradesh,152.0,PM2.5,152.0,0.0
Amritsar,Punjab,148.0,NO2,98.0,50.0
Navi Mumbai,Maharashtra,147.6,PM2.5,147.6,0.0
Munger,Bihar,147.0,PM2.5,147.0,0.0
Kota,Rajasthan,146.0,PM2.5,146.0,0.0
Rourkela,Odisha,145.3,PM2.5,145.3,0.0
Nayagarh,Odisha,143.0,PM2.5,143.0,0.0
Aurangabad,Maharashtra,143.0,PM2.5,143.0,0.0
Solapur,Maharashtra,142.5,PM2.5,142.5,0.0
Singrauli,Madhya Pradesh,140.0,PM2.5,140.0,0.0
Balasore,Odisha,140.0,OZONE,73.0,67.0
Gwalior,Madhya Pradesh,139.5,OZONE,109.5,30.0
Bathinda,Punjab,135.0,PM10,95.0,40.0
Pimpri-Chinchwad,Maharashtra,134.6,PM2.5,134.6,0.0
Ujjain,Madhya Pradesh,133.0,PM2.5,133.0,0.0
Mehsana,Gujarat,132.0,PM10,90.0,42.0
Sikar,Rajasthan,132.0,PM10,78.0,54.0
Agra,Uttar_Pradesh,131.4,PM2.5,131.4,0.0
Guntur,Andhra_Pradesh,130.0,PM2.5,130.0,0.0
Tumidih,Chhattisgarh,127.0,PM2.5,127.0,0.0
Katni,Madhya Pradesh,127.0,PM2.5,127.0,0.0
Bhiwandi,Maharashtra,127.0,PM2.5,127.0,0.0
Bikaner,Rajasthan,124.0,OZONE,,
Rajkot,Gujarat,123.0,PM2.5,123.0,0.0
Sagar,Madhya Pradesh,122.0,OZONE,90.0,32.0
Ahmedabad,Gujarat,120.0,PM2.5,120.0,0.0
Tonk,Rajasthan,120.0,PM10,103.0,17.0
Kanpur,Uttar_Pradesh,119.3,PM2.5,119.3,0.0
Durgapur,West_Bengal,117.7,PM2.5,117.7,0.0
Jalgaon,Maharashtra,117.0,PM2.5,117.0,0.0
Baripada,Odisha,117.0,PM2.5,117.0,0.0
Dewas,Madhya Pradesh,116.0,NO2,98.0,18.0
Asansol,West_Bengal,114.8,PM2.5,114.8,0.0
Anantapur,Andhra_Pradesh,113.0,PM2.5,113.0,0.0
Siwan,Bihar,113.0,PM2.5,113.0,0.0
