state,city,Avg_PM25,Max_PM25,Min_PM25,Avg_AQI,Peak_AQI,Stations,AQI_Category
Andhra_Pradesh,Tirupati,203,203,203,364,364,1,Severe
Andhra_Pradesh,Anantapur,64,64,64,113,113,1,Poor
Andhra_Pradesh,Guntur,69,69,69,130,130,1,Poor
Andhra_Pradesh,Vijayawada,61,73,49,112.5,143,2,Poor
Andhra_Pradesh,Chittoor,56,56,56,93,93,1,Moderate
Andhra_Pradesh,Eluru,58,58,58,97,97,1,Moderate
Andhra_Pradesh,Kadapa,54,54,54,90,90,1,Moderate
Andhra_Pradesh,Machilipatnam,42,42,42,70,70,1,Moderate
Andhra_Pradesh,Nellore,37,37,37,62,62,1,Moderate
Andhra_Pradesh,Tirumala,49,49,49,82,82,1,Moderate
Andhra_Pradesh,Visakhapatnam,40,40,40,67,67,1,Moderate
Andhra_Pradesh,Amaravati,28,28,28,47,47,1,Good
Andhra_Pradesh,Rajamahendravaram,16,16,16,27,27,1,Good
Arunachal_Pradesh,Naharlagun,32,32,32,53,53,1,Moderate
Assam,Byrnihat,104,104,104,247,247,1,Very Poor
Assam,Nagaon,64,64,64,113,113,1,Poor
Assam,Guwahati,39.7,48,35,66,80,3,Moderate
Assam,Nalbari,32,32,32,53,53,1,Moderate
Assam,Silchar,24,24,24,40,40,1,Good
Assam,Sivasagar,21,21,21,35,35,1,Good
Bihar,Begusarai,134,134,134,311,311,1,Severe
Bihar,Hajipur,250,250,250,400,400,1,Severe
Bihar,Motihari,132,132,132,309,309,1,Severe
Bihar,Patna,174.3,295,82,325.7,435,6,Severe
Bihar,Arrah,112,112,112,273,273,1,Very Poor
Bihar,Bhagalpur,130.5,193,68,241.5,356,2,Very Poor
Bihar,Gaya,100.3,120,65,234.7,300,3,Very Poor
Bihar,Muzaffarpur,132.3,239,72,239.7,392,3,Very Poor
Bihar,Saharsa,118,118,118,293,293,1,Very Poor
Bihar,Munger,74,74,74,147,147,1,Poor
Bihar,Purnia,78,78,78,160,160,1,Poor
Bihar,Rajgir,61,61,61,103,103,1,Poor
Bihar,Siwan,64,64,64,113,113,1,Poor
Bihar,Araria,49,49,49,82,82,1,Moderate
Bihar,Aurangabad,37,37,37,62,62,1,Moderate
Bihar,Bettiah,33,33,33,55,55,1,Moderate
Bihar,Bihar Sharif,57,57,57,95,95,1,Moderate
Bihar,Buxar,60,60,60,100,100,1,Moderate
Bihar,Kishanganj,53,53,53,88,88,1,Moderate
Bihar,Sasaram,36,36,36,60,60,1,Moderate
Chandigarh,Chandigarh,44,55,33,73.5,92,2,Moderate
Chhattisgarh,Bilaspur,83,83,83,177,177,1,Poor
Chhattisgarh,Tumidih,68,68,68,127,127,1,Poor
Chhattisgarh,Kunjemura,48,48,48,80,80,1,Moderate
Chhattisgarh,Raipur,39.7,54,31,66.3,90,3,Moderate
Chhattisgarh,Bhilai,29.3,32,26,48.7,53,3,Good
Chhattisgarh,Korba,22,30,14,36.5,50,2,Good
Delhi,Delhi,119.4,204,36,265.9,365,44,Very Poor
Gujarat,Nandesari,140,140,140,315,315,1,Severe
Gujarat,Vadodara,125,125,125,304,304,1,Severe
Gujarat,Vapi,92,92,92,207,207,1,Very Poor
Gujarat,Vatva,108,108,108,260,260,1,Very Poor
Gujarat,Ahmedabad,64,87,42,120,190,8,Poor
Gujarat,Bhavnagar,80,80,80,167,167,1,Poor
Gujarat,Gandhinagar,57.7,73,44,103,143,3,Poor
Gujarat,Rajkot,67,67,67,123,123,1,Poor
